order_year,order_month,product_category_name_english,payment_type_mode,orders,items,revenue,avg_ticket,delayed_rate,avg_review_score,avg_freight_to_price_ratio
2017,1,telephony,voucher,1,1,21.450000000000003,21.450000000000003,0.0,5.0,1.0448045757864635
2017,1,toys,boleto,9,9,671.96,74.66222222222223,0.0,4.333333333333333,0.3824044370276508
2017,1,toys,credit_card,34,34,4898.42,144.07117647058823,0.0,4.235294117647059,0.1919046247863379
2017,1,watches_gifts,boleto,1,1,406.14,406.14,0.0,5.0,0.07160949868073879
2017,1,watches_gifts,credit_card,10,10,7904.6900000000005,790.469,0.1,3.9,0.059077196201838066
2017,1,,boleto,2,3,174.6,58.199999999999996,0.0,3.6666666666666665,0.2938030441186786
2017,1,,credit_card,9,10,1741.13,174.113,0.0,3.6,0.6633191653170111
2017,2,agro_industry_and_commerce,boleto,2,2,77.81,38.905,0.0,3.0,0.7692132787630742
2017,2,agro_industry_and_commerce,credit_card,4,4,217.19,54.2975,0.0,4.0,0.4810564764001251
2017,2,agro_industry_and_commerce,voucher,1,1,36.099999999999994,36.099999999999994,0.0,5.0,0.6416552978626648
2017,2,air_conditioning,boleto,3,3,1240.24,413.41333333333336,0.0,3.0,0.10523778286102141
2017,2,air_conditioning,credit_card,9,9,2199.47,244.38555555555553,0.0,2.625,0.14358515816622985
2017,2,audio,boleto,1,1,60.21,60.21,0.0,3.0,0.338
2017,2,audio,credit_card,2,2,97.92999999999999,48.964999999999996,0.0,2.0,0.6383684210526316
2017,2,audio,debit_card,1,1,44.01,44.01,0.0,5.0,0.4719063545150502
2017,2,audio,voucher,1,1,45.7,45.7,0.0,5.0,0.8353413654618475
2017,2,auto,boleto,23,25,3392.71,135.7084,0.04,4.375,0.34726493804337444
2017,2,auto,credit_card,52,59,11697.77,198.26728813559322,0.05084745762711865,4.237288135593221,0.3328065312671081
2017,2,auto,voucher,2,2,105.19,52.595,0.5,3.0,0.45737389506751935
2017,2,baby,boleto,5,5,418.15999999999997,83.63199999999999,0.0,5.0,0.37053131909704545
2017,2,baby,credit_card,26,27,3164.42,117.20074074074074,0.037037037037037035,4.0,0.3885000070075798
2017,2,baby,debit_card,2,2,131.71,65.855,0.0,4.0,0.2581538461538462
2017,2,bed_bath_table,boleto,20,25,2498.53,99.94120000000001,0.0,4.44,0.3514776903019159
2017,2,bed_bath_table,credit_card,122,136,16326.0,120.04411764705883,0.022058823529411766,4.148148148148148,0.2603265925028272
2017,2,bed_bath_table,debit_card,1,1,72.63,72.63,0.0,4.0,0.3086486486486486
2017,2,bed_bath_table,voucher,3,3,400.63,133.54333333333332,0.0,4.333333333333333,0.1796323139946064
2017,2,books_general_interest,boleto,1,1,129.98,129.98,0.0,4.0,0.1302608695652174
2017,2,books_general_interest,credit_card,7,7,820.04,117.14857142857143,0.14285714285714285,4.428571428571429,0.25383605336748827
2017,2,books_imported,credit_card,1,1,114.9,114.9,0.0,1.0,0.1606060606060606
2017,2,books_technical,credit_card,1,1,182.4,182.4,0.0,4.0,0.1471698113207547
2017,2,cine_photo,credit_card,1,1,95.24000000000001,95.24000000000001,0.0,5.0,0.6142372881355933
2017,2,computers,credit_card,1,1,3602.47,3602.47,0.0,5.0,0.015066215835446605
2017,2,computers_accessories,boleto,27,30,2294.13,76.471,0.06666666666666667,3.5517241379310347,0.37634201583963
2017,2,computers_accessories,credit_card,67,73,11218.78,153.6819178082192,0.0410958904109589,4.054794520547945,0.44776488736171843
2017,2,computers_accessories,debit_card,2,2,180.64000000000001,90.32000000000001,0.0,5.0,0.22863388344114105
2017,2,computers_accessories,voucher,1,1,50.8,50.8,0.0,4.0,0.6933333333333334
2017,2,consoles_games,boleto,7,7,1677.72,239.67428571428573,0.0,4.714285714285714,0.1450324145116415
2017,2,consoles_games,credit_card,10,10,2543.28,254.32800000000003,0.0,3.7,0.1700049866403252
2017,2,consoles_games,debit_card,1,1,416.96000000000004,416.96000000000004,0.0,4.0,0.04242606065151629
2017,2,construction_tools_construction,boleto,2,2,342.06,171.03,0.0,5.0,0.14096064042695128
2017,2,construction_tools_construction,credit_card,1,1,51.510000000000005,51.510000000000005,1.0,5.0,0.3925385239253852
2017,2,construction_tools_safety,boleto,1,1,396.86,396.86,0.0,5.0,0.047124010554089706
2017,2,cool_stuff,boleto,22,22,4601.69,209.16772727272726,0.0,4.5,0.17805915113698353
2017,2,cool_stuff,credit_card,45,46,10067.23,218.85282608695653,0.0,4.173913043478261,0.18950301301460087
2017,2,cool_stuff,voucher,2,2,188.13,94.065,0.0,5.0,0.5090910909242438
2017,2,costruction_tools_garden,boleto,1,2,624.6800000000001,312.34000000000003,0.0,5.0,0.07707162315941929
2017,2,dvds_blu_ray,credit_card,1,1,35.7,35.7,0.0,4.0,1.395973154362416
2017,2,electronics,boleto,2,2,132.19,66.095,0.0,5.0,0.3025406092378569
2017,2,electronics,credit_card,11,16,1277.3,79.83125,0.0625,4.0625,1.0196733248890912
2017,2,electronics,voucher,1,1,146.01,146.01,0.0,5.0,0.24794871794871795
2017,2,fashio_female_clothing,boleto,1,1,105.17,105.17,0.0,1.0,0.12002129925452608
2017,2,fashio_female_clothing,credit_card,3,3,414.6,138.20000000000002,0.0,3.6666666666666665,0.13911488662807894
2017,2,fashion_bags_accessories,boleto,6,6,388.36,64.72666666666667,0.0,4.5,0.414257534257051
2017,2,fashion_bags_accessories,credit_card,29,33,2561.89,77.6330303030303,0.0,4.090909090909091,0.31823740689766705
2017,2,fashion_male_clothing,boleto,1,1,71.71,71.71,0.0,3.0,0.1971619365609349
2017,2,fashion_male_clothing,credit_card,5,5,609.12,121.824,0.0,4.2,0.2344509888206771
2017,2,fashion_male_clothing,voucher,1,1,82.19,82.19,0.0,5.0,0.2664098613251155
2017,2,fashion_shoes,boleto,1,2,111.4,55.7,0.0,4.0,0.5959885386819485
2017,2,fashion_shoes,credit_card,1,1,45.97,45.97,0.0,5.0,0.23409395973154365
2017,2,fashion_underwear_beach,boleto,2,2,126.26,63.13,0.0,5.0,0.22529977375565607
2017,2,fashion_underwear_beach,credit_card,4,6,381.57,63.595,0.3333333333333333,3.6666666666666665,0.39106415168807246
2017,2,fixed_telephony,boleto,2,2,75.72,37.86,0.0,4.5,1.0071921696173791
2017,2,fixed_telephony,credit_card,15,19,1000.13,52.63842105263158,0.0,4.052631578947368,0.7715698424189045
2017,2,fixed_telephony,voucher,1,1,49.040000000000006,49.040000000000006,0.0,5.0,0.48651106395877536
2017,2,food,boleto,2,2,349.08000000000004,174.54000000000002,0.0,5.0,0.16437625083388924
2017,2,food,credit_card,6,6,551.28,91.88,0.0,4.0,0.7291360334990031
2017,2,food,voucher,1,1,29.84,29.84,1.0,1.0,0.9477806788511749
2017,2,furniture_bedroom,credit_card,1,1,501.88,501.88,0.0,5.0,0.1152888888888889
2017,2,furniture_decor,boleto,46,56,5219.3,93.20178571428572,0.08928571428571429,3.890909090909091,0.3994002736167381
2017,2,furniture_decor,credit_card,172,207,20844.49,100.6980193236715,0.03864734299516908,3.8106796116504853,0.3651927589655793
2017,2,furniture_decor,debit_card,1,1,87.50999999999999,87.50999999999999,0.0,5.0,0.4609348914858097
2017,2,furniture_decor,voucher,2,2,111.01999999999998,55.50999999999999,0.0,4.0,0.5755393401810629
2017,2,furniture_living_room,boleto,2,7,987.95,141.1357142857143,0.0,4.142857142857143,0.3572046762738176
2017,2,furniture_living_room,credit_card,12,16,3471.94,216.99625,0.0,3.5625,0.28457035411782766
2017,2,furniture_living_room,voucher,1,1,381.51,381.51,1.0,,0.15644134586238254
2017,2,garden_tools,boleto,18,19,4093.33,215.43842105263158,0.0,4.421052631578948,0.2584860195403276
2017,2,garden_tools,credit_card,44,52,10532.8,202.55384615384614,0.0,3.8846153846153846,0.21839195800361433
2017,2,garden_tools,voucher,1,1,119.16999999999999,119.16999999999999,1.0,1.0,0.2286833694195278
2017,2,health_beauty,boleto,37,40,5079.82,126.99549999999999,0.025,4.275,0.40852146682288487
2017,2,health_beauty,credit_card,114,122,20666.86,169.4004918032787,0.01639344262295082,4.016528925619835,0.34427619202577503
2017,2,health_beauty,voucher,4,4,383.40000000000003,95.85000000000001,0.0,3.75,0.30342144998002885
