date_key,order_date,year,quarter,month,month_name,year_month,week_of_year,day,weekday_name
20170720,2017-07-20,2017,Q3,7,Jul,2017-07,29,20,Thursday
20170721,2017-07-21,2017,Q3,7,Jul,2017-07,29,21,Friday
20170722,2017-07-22,2017,Q3,7,Jul,2017-07,29,22,Saturday
20170723,2017-07-23,2017,Q3,7,Jul,2017-07,29,23,Sunday
20170724,2017-07-24,2017,Q3,7,Jul,2017-07,30,24,Monday
20170725,2017-07-25,2017,Q3,7,Jul,2017-07,30,25,Tuesday
20170726,2017-07-26,2017,Q3,7,Jul,2017-07,30,26,Wednesday
20170727,2017-07-27,2017,Q3,7,Jul,2017-07,30,27,Thursday
20170728,2017-07-28,2017,Q3,7,Jul,2017-07,30,28,Friday
20170729,2017-07-29,2017,Q3,7,Jul,2017-07,30,29,Saturday
20170730,2017-07-30,2017,Q3,7,Jul,2017-07,30,30,Sunday
20170731,2017-07-31,2017,Q3,7,Jul,2017-07,31,31,Monday
20170801,2017-08-01,2017,Q3,8,Aug,2017-08,31,1,Tuesday
20170802,2017-08-02,2017,Q3,8,Aug,2017-08,31,2,Wednesday
20170803,2017-08-03,2017,Q3,8,Aug,2017-08,31,3,Thursday
20170804,2017-08-04,2017,Q3,8,Aug,2017-08,31,4,Friday
20170805,2017-08-05,2017,Q3,8,Aug,2017-08,31,5,Saturday
20170806,2017-08-06,2017,Q3,8,Aug,2017-08,31,6,Sunday
20170807,2017-08-07,2017,Q3,8,Aug,2017-08,32,7,Monday
20170808,2017-08-08,2017,Q3,8,Aug,2017-08,32,8,Tuesday
20170809,2017-08-09,2017,Q3,8,Aug,2017-08,32,9,Wednesday
20170810,2017-08-10,2017,Q3,8,Aug,2017-08,32,10,Thursday
20170811,2017-08-11,2017,Q3,8,Aug,2017-08,32,11,Friday
20170812,2017-08-12,2017,Q3,8,Aug,2017-08,32,12,Saturday
20170813,2017-08-13,2017,Q3,8,Aug,2017-08,32,13,Sunday
20170814,2017-08-14,2017,Q3,8,Aug,2017-08,33,14,Monday
20170815,2017-08-15,2017,Q3,8,Aug,2017-08,33,15,Tuesday
20170816,2017-08-16,2017,Q3,8,Aug,2017-08,33,16,Wednesday
20170817,2017-08-17,2017,Q3,8,Aug,2017-08,33,17,Thursday
20170818,2017-08-18,2017,Q3,8,Aug,2017-08,33,18,Friday
20170819,2017-08-19,2017,Q3,8,Aug,2017-08,33,19,Saturday
